trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999996915748783}",25,0,-318.63912344968514,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.9999987662997035}",20,0,-63.2897536720056,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999972241750464}",25,0,-141.08056314458696,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999950652018582}",30,0,-119.85307485552462,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999922893814706}",20,0,-69.3465649551974,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.999988896715596}",20,0,-230.89242865661123,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.999984887206327}",25,16,-30.29155212809195,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9999802608561371}",25,0,-167.5296249844942,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999750176678799}",25,0,-171.38676048591662,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999691576447897}",20,0,-156.4443725211405,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9999626807904812}",20,0,-79.97461778865754,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999555871089498}",30,1,-230.14966472467628,"{0: 14, 1: 3, 2: 7, 3: 2, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.9999478766045711}",25,0,-121.28890584544786,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9999395492821014}",20,9,-88.54768151059491,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9999306051466773}",20,0,-166.39727796450958,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9999210442038161}",20,0,-45.98298829819923,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9999108664594155}",25,0,-114.8064639206415,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9999000719197535}",25,0,-161.58834210242804,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9998886605914888}",30,0,-226.87994253707348,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9998766324816606}",20,0,-59.13749702119412,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9998639875976882}",20,0,-85.94357025644167,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9998507259473718}",25,0,-108.39384792579239,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9998368475388918}",35,0,-249.18051454608175,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.999822352380809}",20,0,-139.42842421069776,"{0: 6, 1: 7, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9998072404820648}",20,0,-102.18258296687843,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9997915118519811}",20,0,-82.40747493543752,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.99977516650026}",35,0,-253.17410929667815,"{0: 18, 1: 2, 2: 10, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.999758204436984}",25,0,-182.08115250283774,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9997406256726165}",30,0,-253.11496913341531,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
30,False,"{'a': 0.5, 'e': 0.9997224302180006}",25,0,-70.73903918658075,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9997036180843604}",20,0,-97.91789653645576,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9996841892832999}",30,0,-101.41177883125087,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9996641438268042}",20,0,-75.06479807357927,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.999643481727238}",30,13,-62.01311333924205,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9996222029973468}",20,16,7.745831991365132,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9996003076502565}",20,0,-176.23691336063388,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9995777956994731}",35,0,-214.4496858844963,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9995546671588833}",25,0,-123.7201142622406,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9995309220427536}",35,0,-160.3586438563868,"{0: 22, 1: 3, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9995065603657316}",25,0,-133.02348790252373,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9994815821428444}",20,0,-88.3161612707537,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9994559873895001}",20,0,-79.69897518359478,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9994297761214869}",20,6,-78.38736666449364,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
44,False,"{'a': 0.5, 'e': 0.9994029483549729}",20,0,-67.96801637761487,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.999375504106507}",20,0,-89.33436181521735,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9993474433930183}",25,0,-78.00773459553936,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.9993187662318158}",20,0,-128.79191364579032,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9992894726405892}",20,0,-108.00614873979471,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.9992595626374083}",30,0,-226.29489666829622,"{0: 14, 1: 6, 2: 5, 3: 2, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9992290362407229}",25,0,-158.79086165776272,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9991978934693634}",30,0,-148.62866541824818,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9991661343425401}",20,0,-131.2947622547028,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9991337588798437}",20,0,-154.58241430143045,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.999100767101245}",25,0,-185.23768649756968,"{0: 17, 1: 2, 2: 0, 3: 2, 4: 4}",0
55,False,"{'a': 0.5, 'e': 0.999067159027095}",25,0,-48.758833327003565,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9990329346781247}",25,0,-124.56637468073309,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9989980940754456}",20,0,-31.434614665696067,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9989626372405491}",25,0,-225.54399527159117,"{0: 8, 1: 5, 2: 9, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9989265641953067}",30,0,-136.15018872164381,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.99888987496197}",25,0,-183.18637078296695,"{0: 9, 1: 7, 2: 6, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9988525695631708}",25,7,-48.45661929400628,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9988146480219211}",20,0,-60.28414865573661,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9987761103616126}",30,11,-80.34563974014233,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.9987369566060175}",20,0,-76.88153198117705,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9986971867792875}",25,0,-111.27850390714292,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.998656800905955}",25,0,-167.274752504038,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.9986157990109317}",20,0,-121.34486009469185,"{0: 8, 1: 5, 2: 3, 3: 4, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9985741811195098}",25,0,-122.84757113120708,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9985319472573612}",30,0,-138.86169762870975,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9984890974505379}",20,0,-142.4300425698716,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.998445631725472}",25,0,-143.8078501981829,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.998401550108975}",35,0,-245.2205431941859,"{0: 19, 1: 3, 2: 9, 3: 0, 4: 4}",0
73,False,"{'a': 0.5, 'e': 0.998356852628239}",20,0,-107.59054198839732,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9983115393108354}",20,0,-70.44557918591632,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9982656101847159}",20,0,-57.898762040690315,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9982190652782118}",35,11,-138.34443437814454,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.9981719046200344}",20,0,-238.95238714243288,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
78,False,"{'a': 0.5, 'e': 0.9981241282392745}",20,0,-151.54528811885675,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9980757361654035}",20,0,-33.50227337409333,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9980267284282716}",25,0,-187.5736836893161,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9979771050581093}",30,0,-65.33322119320691,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.997926866085527}",20,0,-73.0521583539743,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9978760115415145}",25,0,-215.9498813262749,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9978245414574415}",20,0,-79.21211458268138,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9977724558650571}",25,0,-136.50669327846757,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.9977197547964907}",20,0,2.409595484488149,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9976664382842505}",35,0,-220.84830720582292,"{0: 20, 1: 5, 2: 6, 3: 0, 4: 4}",0
88,False,"{'a': 0.5, 'e': 0.9976125063612252}",20,0,-182.6930795566336,"{0: 7, 1: 6, 2: 4, 3: 0, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9975579590606826}",20,0,-66.07236798926543,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.99750279641627}",25,0,-242.6765067654877,"{0: 10, 1: 1, 2: 9, 3: 2, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.9974470184620149}",25,11,-16.073183885676652,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
