trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.36689068468326,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.14757450532957,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.62152472886058,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.70341425856698,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.6730455398076,"{0: 9, 1: 5, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.83747354644356,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-182.23962127093745,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.96793927939552,"{0: 9, 1: 4, 2: 8, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.63749990792192,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.5319546442007,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.6463092814969,"{0: 11, 1: 5, 2: 3, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.91552288174887,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.1049430949892,"{0: 21, 1: 4, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.48753315054293,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-35.0378404454162,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.9934049303256,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.57242679936189,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.1101691310237,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.81789668745597,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.81394109066066,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-98.71940468729883,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-137.42285864935948,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-225.94778711595777,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-142.13925745972688,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,5,-128.29883126037402,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 2}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-112.30821398109767,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-146.30549851881813,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-163.61339764191527,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,12,-10.795972310638067,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-85.76618268413276,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
